INPUT:comment	OUTPUT:quality	GOLDEN:quality	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
poor cat 😭YT: Sssally 🐇#global #trending #tiktok #foryoupage #foryou #foru#fy #fyp #youtube #forupage	1				https://toloka.yandex.ru/task/23796047/00016b194f--608f11c14b93044d506349bb	00016b194f--608f11c14b93044d506349bb	5325b3b2dfdc157d329956aa7b14542d	APPROVED	2021-05-02T20:55:29.700
#duet #foodwehate #foryou #fyp #fypシ #voiceeffects #smilecheck #whyamihere #shakeyourbackpack #fashionselect #10secondsvs #dontrun #digitaldivas #fy	0				https://toloka.yandex.ru/task/23796047/00016b194f--608f11c14b93044d506349bb	00016b194f--608f11c14b93044d506349bb	5325b3b2dfdc157d329956aa7b14542d	APPROVED	2021-05-02T20:55:29.700
🤣🤣🤣 #nhs #nhschallenge #challenge #parentschallenge #lol #fy #fyp #foryoupage #fypシ #foryou #prankcallchallenge #prank #facetime #prankcall #parent	0				https://toloka.yandex.ru/task/23796047/00016b194f--608f11c14b93044d506349bb	00016b194f--608f11c14b93044d506349bb	5325b3b2dfdc157d329956aa7b14542d	APPROVED	2021-05-02T20:55:29.700
HE DESTROYED MY IPAD 🤬😱 @topperguild #fyp #foryou #tiktok #music #singing	0				https://toloka.yandex.ru/task/23796047/00016b194f--608f11c14b93044d506349bb	00016b194f--608f11c14b93044d506349bb	5325b3b2dfdc157d329956aa7b14542d	APPROVED	2021-05-02T20:55:29.700
Boost the og vid my loves❤️ #womenempowerment #womenslivesmattertoo #womenslivesmatters #protectourwomen #feminist #catcalling #catcallingisnotokay	1				https://toloka.yandex.ru/task/23796047/00016b194f--608f11c14b93044d506349bb	00016b194f--608f11c14b93044d506349bb	5325b3b2dfdc157d329956aa7b14542d	APPROVED	2021-05-02T20:55:29.700
#neilhillborn#ollieschminkey #survivor#victim#poetry#spokentword#performance#JDSmashingIt#MONCLERBUBBLEUP#feminism#love#kindness#xyzbca	0				https://toloka.yandex.ru/task/23796047/00016b194f--608f11c14b93044d506349bb	00016b194f--608f11c14b93044d506349bb	5325b3b2dfdc157d329956aa7b14542d	APPROVED	2021-05-02T20:55:29.700
Doing my best every day 💪 #womenempowerment #confidentwomen	1				https://toloka.yandex.ru/task/23796047/00016b194f--608f11c14b93044d506349bb	00016b194f--608f11c14b93044d506349bb	5325b3b2dfdc157d329956aa7b14542d	APPROVED	2021-05-02T20:55:29.700
Doing my best every day 💪 #womenempowerment #confidentwomen	1				https://toloka.yandex.ru/task/23796047/00016b194f--608f12860bd4776cefa8224a	00016b194f--608f12860bd4776cefa8224a	de6c465f09f2c67710de3e6884b7e7bf	APPROVED	2021-05-02T20:58:46.010
#neilhillborn#ollieschminkey #survivor#victim#poetry#spokentword#performance#JDSmashingIt#MONCLERBUBBLEUP#feminism#love#kindness#xyzbca	0				https://toloka.yandex.ru/task/23796047/00016b194f--608f12860bd4776cefa8224a	00016b194f--608f12860bd4776cefa8224a	de6c465f09f2c67710de3e6884b7e7bf	APPROVED	2021-05-02T20:58:46.010
poor cat 😭YT: Sssally 🐇#global #trending #tiktok #foryoupage #foryou #foru#fy #fyp #youtube #forupage	-1				https://toloka.yandex.ru/task/23796047/00016b194f--608f12860bd4776cefa8224a	00016b194f--608f12860bd4776cefa8224a	de6c465f09f2c67710de3e6884b7e7bf	APPROVED	2021-05-02T20:58:46.010
🤣🤣🤣 #nhs #nhschallenge #challenge #parentschallenge #lol #fy #fyp #foryoupage #fypシ #foryou #prankcallchallenge #prank #facetime #prankcall #parent	0				https://toloka.yandex.ru/task/23796047/00016b194f--608f12860bd4776cefa8224a	00016b194f--608f12860bd4776cefa8224a	de6c465f09f2c67710de3e6884b7e7bf	APPROVED	2021-05-02T20:58:46.010
#duet #foodwehate #foryou #fyp #fypシ #voiceeffects #smilecheck #whyamihere #shakeyourbackpack #fashionselect #10secondsvs #dontrun #digitaldivas #fy	-1				https://toloka.yandex.ru/task/23796047/00016b194f--608f12860bd4776cefa8224a	00016b194f--608f12860bd4776cefa8224a	de6c465f09f2c67710de3e6884b7e7bf	APPROVED	2021-05-02T20:58:46.010
Boost the og vid my loves❤️ #womenempowerment #womenslivesmattertoo #womenslivesmatters #protectourwomen #feminist #catcalling #catcallingisnotokay	1				https://toloka.yandex.ru/task/23796047/00016b194f--608f12860bd4776cefa8224a	00016b194f--608f12860bd4776cefa8224a	de6c465f09f2c67710de3e6884b7e7bf	APPROVED	2021-05-02T20:58:46.010
HE DESTROYED MY IPAD 🤬😱 @topperguild #fyp #foryou #tiktok #music #singing	-1				https://toloka.yandex.ru/task/23796047/00016b194f--608f12860bd4776cefa8224a	00016b194f--608f12860bd4776cefa8224a	de6c465f09f2c67710de3e6884b7e7bf	APPROVED	2021-05-02T20:58:46.010
Su falta de educación y empatía nunca va a dejar de sorprenderme #parati #yositecreo #feminismo	0				https://toloka.yandex.ru/task/23796047/00016b194f--608f12d68342200cc3f30da6	00016b194f--608f12d68342200cc3f30da6	aa2f20c0bd0c289a9608167216543f32	APPROVED	2021-05-02T21:00:06.478
#pov Rio queria me testar e esperava que eu ficasse com medo dele igual todos, mas acabou que minha reação foi diferente #fy #fyp #goodgirls #rio	0				https://toloka.yandex.ru/task/23796047/00016b194f--608f12d68342200cc3f30da6	00016b194f--608f12d68342200cc3f30da6	aa2f20c0bd0c289a9608167216543f32	APPROVED	2021-05-02T21:00:06.478
Hay muchos dramas para este audio 👽 #parati #foryou #lentejas #tiktoksacameenparati #dramas #stopasianhate #dorama #feminismo #💜	-1				https://toloka.yandex.ru/task/23796047/00016b194f--608f12d68342200cc3f30da6	00016b194f--608f12d68342200cc3f30da6	aa2f20c0bd0c289a9608167216543f32	APPROVED	2021-05-02T21:00:06.478
This ended bad😓😱 #fyp #foryou #singing #music #tiktok #dance @ndochampofficial	-1				https://toloka.yandex.ru/task/23796047/00016b194f--608f12d68342200cc3f30da6	00016b194f--608f12d68342200cc3f30da6	aa2f20c0bd0c289a9608167216543f32	APPROVED	2021-05-02T21:00:06.478
Finally a #joke that even the most #hardcore #feminist should appreciate 🤪 #FYP #TikTokcomedy #disneyland #towerofterror #carwash	1				https://toloka.yandex.ru/task/23796047/00016b194f--608f12d68342200cc3f30da6	00016b194f--608f12d68342200cc3f30da6	aa2f20c0bd0c289a9608167216543f32	APPROVED	2021-05-02T21:00:06.478
lemme get low for a second #iamabassgod #beatbox #music #tiktok	0				https://toloka.yandex.ru/task/23796047/00016b194f--608f12d68342200cc3f30da6	00016b194f--608f12d68342200cc3f30da6	aa2f20c0bd0c289a9608167216543f32	APPROVED	2021-05-02T21:00:06.478
죄송합니다 ㅋㅋㅋ그냥 제 팬분들을 위해서 만든영상이니 거북하신분들은 빨리 넘겨주세요 ㅋㅋㅋ #foryoupage #foru #fyp #foryourpage #korean #hamster	0				https://toloka.yandex.ru/task/23796047/00016b194f--608f12d68342200cc3f30da6	00016b194f--608f12d68342200cc3f30da6	aa2f20c0bd0c289a9608167216543f32	APPROVED	2021-05-02T21:00:06.478
죄송합니다 ㅋㅋㅋ그냥 제 팬분들을 위해서 만든영상이니 거북하신분들은 빨리 넘겨주세요 ㅋㅋㅋ #foryoupage #foru #fyp #foryourpage #korean #hamster	0				https://toloka.yandex.ru/task/23796047/00016b194f--608f1315ae061870ad160db6	00016b194f--608f1315ae061870ad160db6	de6c465f09f2c67710de3e6884b7e7bf	APPROVED	2021-05-02T21:01:09.401
lemme get low for a second #iamabassgod #beatbox #music #tiktok	1				https://toloka.yandex.ru/task/23796047/00016b194f--608f1315ae061870ad160db6	00016b194f--608f1315ae061870ad160db6	de6c465f09f2c67710de3e6884b7e7bf	APPROVED	2021-05-02T21:01:09.401
Su falta de educación y empatía nunca va a dejar de sorprenderme #parati #yositecreo #feminismo	0				https://toloka.yandex.ru/task/23796047/00016b194f--608f1315ae061870ad160db6	00016b194f--608f1315ae061870ad160db6	de6c465f09f2c67710de3e6884b7e7bf	APPROVED	2021-05-02T21:01:09.401
Finally a #joke that even the most #hardcore #feminist should appreciate 🤪 #FYP #TikTokcomedy #disneyland #towerofterror #carwash	-1				https://toloka.yandex.ru/task/23796047/00016b194f--608f1315ae061870ad160db6	00016b194f--608f1315ae061870ad160db6	de6c465f09f2c67710de3e6884b7e7bf	APPROVED	2021-05-02T21:01:09.401
This ended bad😓😱 #fyp #foryou #singing #music #tiktok #dance @ndochampofficial	-1				https://toloka.yandex.ru/task/23796047/00016b194f--608f1315ae061870ad160db6	00016b194f--608f1315ae061870ad160db6	de6c465f09f2c67710de3e6884b7e7bf	APPROVED	2021-05-02T21:01:09.401
Hay muchos dramas para este audio 👽 #parati #foryou #lentejas #tiktoksacameenparati #dramas #stopasianhate #dorama #feminismo #💜	-1				https://toloka.yandex.ru/task/23796047/00016b194f--608f1315ae061870ad160db6	00016b194f--608f1315ae061870ad160db6	de6c465f09f2c67710de3e6884b7e7bf	APPROVED	2021-05-02T21:01:09.401
#pov Rio queria me testar e esperava que eu ficasse com medo dele igual todos, mas acabou que minha reação foi diferente #fy #fyp #goodgirls #rio	1				https://toloka.yandex.ru/task/23796047/00016b194f--608f1315ae061870ad160db6	00016b194f--608f1315ae061870ad160db6	de6c465f09f2c67710de3e6884b7e7bf	APPROVED	2021-05-02T21:01:09.401
#한판만 #핑크 #핑크먹방 #pink #color  ㅋㅋㅋㅋㅋ 색소를 너무 많이 넣었나봐요...😅 #foryoupage #foru #fyp #foryourpage #mukbang #먹방 #먹방asmr #asmr #asmrvideo #korean	0				https://toloka.yandex.ru/task/23796047/00016b194f--608f134e6efd841d656a426e	00016b194f--608f134e6efd841d656a426e	aa2f20c0bd0c289a9608167216543f32	APPROVED	2021-05-02T21:02:06.229
Part 10 🤯 follow for more 🤩 #fy #fyp #caughtoncamera	0				https://toloka.yandex.ru/task/23796047/00016b194f--608f134e6efd841d656a426e	00016b194f--608f134e6efd841d656a426e	aa2f20c0bd0c289a9608167216543f32	APPROVED	2021-05-02T21:02:06.229
#dúo con @crazybict5 Estoy abierto a escuchar sus defensas 😀 #feministas #kidgettinghurt #fyp #viral #hit #compartir	0				https://toloka.yandex.ru/task/23796047/00016b194f--608f134e6efd841d656a426e	00016b194f--608f134e6efd841d656a426e	aa2f20c0bd0c289a9608167216543f32	APPROVED	2021-05-02T21:02:06.229
#military #heroes  #privilegios #feminism	0				https://toloka.yandex.ru/task/23796047/00016b194f--608f134e6efd841d656a426e	00016b194f--608f134e6efd841d656a426e	aa2f20c0bd0c289a9608167216543f32	APPROVED	2021-05-02T21:02:06.229
nih buat yg suka asal judge drakor padahal cuman nonton satu drama aja :)) #kdrama #penthouse #penthouse2	1				https://toloka.yandex.ru/task/23796047/00016b194f--608f134e6efd841d656a426e	00016b194f--608f134e6efd841d656a426e	aa2f20c0bd0c289a9608167216543f32	APPROVED	2021-05-02T21:02:06.229
The nursing home has a drum exercise class ❤️ #love #amazing #drums #music #shoutoutot (h/t rexchapman/TW, via Green Country/FB)	1				https://toloka.yandex.ru/task/23796047/00016b194f--608f134e6efd841d656a426e	00016b194f--608f134e6efd841d656a426e	aa2f20c0bd0c289a9608167216543f32	APPROVED	2021-05-02T21:02:06.229
YAS!!!!!! Stop crying over spilt milk! #tarot #tarotreading #lawsofattraction #manifest #divinelove #fyp #fy #spirituality #spiritguides #message	-1				https://toloka.yandex.ru/task/23796047/00016b194f--608f134e6efd841d656a426e	00016b194f--608f134e6efd841d656a426e	aa2f20c0bd0c289a9608167216543f32	APPROVED	2021-05-02T21:02:06.229
nih buat yg suka asal judge drakor padahal cuman nonton satu drama aja :)) #kdrama #penthouse #penthouse2	0				https://toloka.yandex.ru/task/23796047/00016b194f--608f135b2b838e478130cca0	00016b194f--608f135b2b838e478130cca0	d7933e770cb406b495d788d18199e7d6	APPROVED	2021-05-02T21:02:19.448
#한판만 #핑크 #핑크먹방 #pink #color  ㅋㅋㅋㅋㅋ 색소를 너무 많이 넣었나봐요...😅 #foryoupage #foru #fyp #foryourpage #mukbang #먹방 #먹방asmr #asmr #asmrvideo #korean	0				https://toloka.yandex.ru/task/23796047/00016b194f--608f135b2b838e478130cca0	00016b194f--608f135b2b838e478130cca0	d7933e770cb406b495d788d18199e7d6	APPROVED	2021-05-02T21:02:19.448
#military #heroes  #privilegios #feminism	0				https://toloka.yandex.ru/task/23796047/00016b194f--608f135b2b838e478130cca0	00016b194f--608f135b2b838e478130cca0	d7933e770cb406b495d788d18199e7d6	APPROVED	2021-05-02T21:02:19.448
