INPUT:comment	OUTPUT:quality	GOLDEN:quality	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
@yash.we.exist you're a good kid, thank you	1				https://toloka.yandex.ru/task/23796587/00016b1b6b--608f1cab022d7b13cb8e9be4	00016b1b6b--608f1cab022d7b13cb8e9be4	fa3b0c7d0bd8977714dbac59f35a14f0	APPROVED	2021-05-02T21:42:03.276
@fantozzi.francesco_ Why am I tagged, I just made a reply saying they did ...	0				https://toloka.yandex.ru/task/23796587/00016b1b6b--608f1cab022d7b13cb8e9be4	00016b1b6b--608f1cab022d7b13cb8e9be4	fa3b0c7d0bd8977714dbac59f35a14f0	APPROVED	2021-05-02T21:42:03.276
This is horrible.	-1				https://toloka.yandex.ru/task/23796587/00016b1b6b--608f1cab022d7b13cb8e9be4	00016b1b6b--608f1cab022d7b13cb8e9be4	fa3b0c7d0bd8977714dbac59f35a14f0	APPROVED	2021-05-02T21:42:03.276
Uggghhhh this makes me sooo mad😡😡 As always, I admire your strength in sharing pieces of your story and continuing to be a voice for so many topics that usually just get ignored. With awareness comes change!!✊🏼💜💜💜	-1				https://toloka.yandex.ru/task/23796587/00016b1b6b--608f1cab022d7b13cb8e9be4	00016b1b6b--608f1cab022d7b13cb8e9be4	fa3b0c7d0bd8977714dbac59f35a14f0	APPROVED	2021-05-02T21:42:03.276
💔💔💔💔	1				https://toloka.yandex.ru/task/23796587/00016b1b6b--608f1cab022d7b13cb8e9be4	00016b1b6b--608f1cab022d7b13cb8e9be4	fa3b0c7d0bd8977714dbac59f35a14f0	APPROVED	2021-05-02T21:42:03.276
@antifeminists1 hmm I wonder if men talk about eachother in overly sexual ways saying they have great cock sucking mouths and that they have great arses and that they would LOVE to have sex with eachother. No. That’s just inappropriate workplace behaviour overall. There’s a line you draw in a workplace. It has nothing to do with ‘women’ it’s just a lack of having humour and proper respect	-1				https://toloka.yandex.ru/task/23796587/00016b1b6b--608f1cab022d7b13cb8e9be4	00016b1b6b--608f1cab022d7b13cb8e9be4	fa3b0c7d0bd8977714dbac59f35a14f0	APPROVED	2021-05-02T21:42:03.276
Around 6💔	1				https://toloka.yandex.ru/task/23796587/00016b1b6b--608f1cab022d7b13cb8e9be4	00016b1b6b--608f1cab022d7b13cb8e9be4	fa3b0c7d0bd8977714dbac59f35a14f0	APPROVED	2021-05-02T21:42:03.276
This is horrible.	-1				https://toloka.yandex.ru/task/23796587/00016b1b6b--608f1cb08342200cc3f3a5dd	00016b1b6b--608f1cb08342200cc3f3a5dd	c88f433c97407e26a9c41836af34e51c	APPROVED	2021-05-02T21:42:08.215
💔💔💔💔	1				https://toloka.yandex.ru/task/23796587/00016b1b6b--608f1cb08342200cc3f3a5dd	00016b1b6b--608f1cb08342200cc3f3a5dd	c88f433c97407e26a9c41836af34e51c	APPROVED	2021-05-02T21:42:08.215
@yash.we.exist you're a good kid, thank you	1				https://toloka.yandex.ru/task/23796587/00016b1b6b--608f1cb08342200cc3f3a5dd	00016b1b6b--608f1cb08342200cc3f3a5dd	c88f433c97407e26a9c41836af34e51c	APPROVED	2021-05-02T21:42:08.215
